2012-03-24 15:14:15,234 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=22,knownClosestNodes.size()=10
2012-03-24 15:14:15,234 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=DFAA6EE8 317F4135 B3737501 1CC321A3 
2012-03-24 15:14:25,062 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=DFAA6EE8 317F4135 B3737501 1CC321A3 , used 9 seconds.
2012-03-24 15:14:25,062 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=16,knownClosestNodes.size()=10
2012-03-24 15:14:25,062 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=A2DF9AF3 66C04686 9713AD10 293B5999 
2012-03-24 15:14:43,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=A2DF9AF3 66C04686 9713AD10 293B5999 , used 18 seconds.
2012-03-24 15:14:43,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=24,knownClosestNodes.size()=10
2012-03-24 15:14:43,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=D8C706BF 85A20805 C19F6FDF 77FBB1B6 
2012-03-24 15:14:54,265 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=D8C706BF 85A20805 C19F6FDF 77FBB1B6 , used 10 seconds.
2012-03-24 15:14:54,265 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=17,knownClosestNodes.size()=10
2012-03-24 15:14:54,265 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=CAC11EE7 08921C73 FE80D879 A6DC9C60 
2012-03-24 15:15:15,390 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=CAC11EE7 08921C73 FE80D879 A6DC9C60 , used 21 seconds.
2012-03-24 15:15:15,390 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=27,knownClosestNodes.size()=10
2012-03-24 15:15:15,390 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=F7CE4983 50535294 D3F79B79 9B8F7CFD 
2012-03-24 15:15:25,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=F7CE4983 50535294 D3F79B79 9B8F7CFD , used 10 seconds.
2012-03-24 15:15:25,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=18,knownClosestNodes.size()=10
2012-03-24 15:15:25,452 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=B866D55E 3592B86D E3963350 7C8A480A 
2012-03-24 15:15:37,468 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=B866D55E 3592B86D E3963350 7C8A480A , used 12 seconds.
2012-03-24 15:15:37,468 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=10,knownClosestNodes.size()=10
2012-03-24 15:15:37,468 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=C0A28835 37211EC2 04265C9B 97253370 
2012-03-24 15:15:52,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=C0A28835 37211EC2 04265C9B 97253370 , used 15 seconds.
2012-03-24 15:15:52,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=24,knownClosestNodes.size()=10
2012-03-24 15:15:52,562 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=4C7769E4 B59CCB73 D6BF67BA 55D301E8 
2012-03-24 15:16:04,640 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=4C7769E4 B59CCB73 D6BF67BA 55D301E8 , used 12 seconds.
2012-03-24 15:16:04,640 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=18,knownClosestNodes.size()=10
2012-03-24 15:16:04,640 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=10F79E46 B7CCFFB6 B490CFFE C0061AE1 
2012-03-24 15:16:20,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=10F79E46 B7CCFFB6 B490CFFE C0061AE1 , used 15 seconds.
2012-03-24 15:16:20,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=20,knownClosestNodes.size()=10
2012-03-24 15:16:20,405 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=C4BDE480 0B6BB603 48F582AA 7D97BF90 
